waypoint1	waypoint2	distance_m	duration_s
aeroport T2 metro, barcelona	llucmajor metro, barcelona	25108	4256
aeroport T2 metro, barcelona	Magoria metro, barcelona	15033	1928
aeroport T2 metro, barcelona	Maragall metro, barcelona	25012	4535
aeroport T2 metro, barcelona	Maria Cristina metro, barcelona	18019	3324
aeroport T2 metro, barcelona	Marina metro, barcelona	21807	4200
aeroport T2 metro, barcelona	Mas blau metro, barcelona	1682	1201
aeroport T2 metro, barcelona	Mercabarna metro, barcelona	5720	2188
aeroport T2 metro, barcelona	Mercat Nou metro, barcelona	16416	3209
aeroport T2 metro, barcelona	Moli Nou metro, barcelona	14961	4565
aeroport T2 metro, barcelona	Montbau metro, barcelona	24603	4195
aeroport T2 metro, barcelona	Monumental metro, barcelona	20429	3448
aeroport T2 metro, barcelona	Mundet metro, barcelona	25297	4348
aeroport T2 metro, barcelona	Muntaner metro, barcelona	20524	3595
aeroport T2 metro, barcelona	Navas metro, barcelona	24007	4454
aeroport T2 metro, barcelona	Onza de Setembre metro, barcelona	25533	5041
aeroport T2 metro, barcelona	Palau Reial metro, barcelona	17302	3089
aeroport T2 metro, barcelona	Padua metro, barcelona	20822	3616
aeroport T2 metro, barcelona	Parallel metro, barcelona	18266	3081
aeroport T2 metro, barcelona	Parc logistic metro, barcelona	10538	2034
aeroport T2 metro, barcelona	Parc nou metro, barcelona	2556	630
aeroport T2 metro, barcelona	passeig de gracia metro, barcelona	18886	2841
aeroport T2 metro, barcelona	penitents metro, barcelona	23212	4008
aeroport T2 metro, barcelona	pep ventura metro, barcelona	28697	4752
aeroport T2 metro, barcelona	placa molina metro, barcelona	20776	3812
aeroport T2 metro, barcelona	placa de sants metro, barcelona	16948	3213
aeroport T2 metro, barcelona	placa del centre metro, barcelona	19345	3542
aeroport T2 metro, barcelona	poblenou metro, barcelona	24043	4138
aeroport T2 metro, barcelona	poble sec metro, barcelona	17437	2736
aeroport T2 metro, barcelona	provenca metro, barcelona	20129	3883
aeroport T2 metro, barcelona	pubilla cases metro, barcelona	16693	3149
aeroport T2 metro, barcelona	rambla just oliveres metro, barcelona	10041	2652
aeroport T2 metro, barcelona	reina elisenda metro, barcelona	24403	4502
aeroport T2 metro, barcelona	rocafort metro, barcelona	16816	2292
aeroport T2 metro, barcelona	roquetes metro, barcelona	28085	4763
aeroport T2 metro, barcelona	sagrada familia metro, barcelona	21751	4022
aeroport T2 metro, barcelona	sant andreu metro, barcelona	25559	4697
aeroport T2 metro, barcelona	sant antoni metro, barcelona	17906	2813
aeroport T2 metro, barcelona	sant boi metro, barcelona	16894	3506
aeroport T2 metro, barcelona	sant gervasi metro, barcelona	20741	3778
aeroport T2 metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	15674	2696
aeroport T2 metro, barcelona	sant josep metro, barcelona	14539	3060
aeroport T2 metro, barcelona	sant marti metro, barcelona	24150	4036
aeroport T2 metro, barcelona	sant roc metro, barcelona	27637	4668
aeroport T2 metro, barcelona	santa coloma metro, barcelona	29450	5304
aeroport T2 metro, barcelona	santa eulalia metro, barcelona	15726	3044
aeroport T2 metro, barcelona	santa rosa metro, barcelona	31114	6020
aeroport T2 metro, barcelona	sants estacio metro, barcelona	17797	3478
aeroport T2 metro, barcelona	sarria metro, barcelona	23520	4395
aeroport T2 metro, barcelona	selva de mar metro, barcelona	24766	4295
aeroport T2 metro, barcelona	singuerlin metro, barcelona	30995	5841
aeroport T2 metro, barcelona	tarragona metro, barcelona	16645	2543
aeroport T2 metro, barcelona	tetuan metro, barcelona	19587	3319
aeroport T2 metro, barcelona	torras i bages metro, barcelona	27580	5098
aeroport T2 metro, barcelona	torrassa metro, barcelona	14855	2472
aeroport T2 metro, barcelona	torre baro metro, barcelona	28170	5225
aeroport T2 metro, barcelona	trinitat nova metro, barcelona	26821	4625
aeroport T2 metro, barcelona	trinitat vella metro, barcelona	28177	5092
aeroport T2 metro, barcelona	universitat metro, barcelona	18060	2544
aeroport T2 metro, barcelona	urgell metro, barcelona	17330	2398
aeroport T2 metro, barcelona	urquinaona metro, barcelona	19530	3123
aeroport T2 metro, barcelona	valldaura metro, barcelona	25985	4372
aeroport T2 metro, barcelona	vall d'hebron metro, barcelona	23924	4038
aeroport T2 metro, barcelona	verdaguer metro, barcelona	20880	3943
aeroport T2 metro, barcelona	verneda metro, barcelona	25668	4275
aeroport T2 metro, barcelona	via julia metro, barcelona	25981	4388
aeroport T2 metro, barcelona	vilapicina metro, barcelona	26084	4684
aeroport T2 metro, barcelona	virrei amat metro, barcelona	25517	4644
aeroport T2 metro, barcelona	zona universitaria metro, barcelona	16774	2711
alfons x metro, barcelona	almeda metro, barcelona	12167	3448
alfons x metro, barcelona	arc de triomf metro, barcelona	3223	1413
alfons x metro, barcelona	artigues metro, barcelona	7117	1989
alfons x metro, barcelona	avinguda carrilet metro, barcelona	12036	2974
alfons x metro, barcelona	avinguda tibidabo metro, barcelona	6818	2010
